size archivo;tiempo codificacion Huffman;tiempo compresion LZ;tiempo decodificacion Huffman;tiempo descompresion LZ
1.43325e+06;0.808446;23.0312;0.403971;0.0905885
7243;0.00606703;0.147934;0.00207075;0.000751104
21;0.000483168;0.000588139;0.000118355;0.000100662
2344;0.00218435;0.0467963;0.000680662;0.000330313
208571;0.115697;3.47888;0.0560447;0.0141902
1.43325e+06;0.810271;22.7609;0.398372;0.0904364
7243;0.00501714;0.148039;0.00209316;0.000754567
21;0.000477377;0.000598125;0.000123036;0.000101979
1.00996e+06;0.549129;14.2814;0.267817;0.0614342
755231;0.409156;12.162;0.195298;0.0483518
522792;0.282942;8.38318;0.136266;0.0335014
1.00996e+06;0.547123;14.2491;0.263391;0.0616996
755231;0.409135;12.1907;0.196612;0.0492989
522792;0.283066;8.36993;0.136203;0.0333861
1.00996e+06;0.547719;14.2893;0.267772;0.0622522
755231;0.409707;12.2017;0.197119;0.0484764
522792;0.28264;8.39013;0.137393;0.0335752
1.00996e+06;0.547538;14.2796;0.263043;0.0613827
755231;0.407954;12.1335;0.199053;0.0482603
522792;0.282789;8.39051;0.136229;0.0335922
1.00996e+06;0.548186;14.2267;0.267136;0.0616818
755231;0.40845;12.2131;0.19729;0.0484387
522792;0.282628;8.38636;0.135859;0.0334341
1.00996e+06;0.547328;14.3673;0.263106;0.0617695
755231;0.410774;12.1624;0.197718;0.0482345
522792;0.283021;8.40359;0.135529;0.0336165
1.00996e+06;0.548416;14.2507;0.264172;0.0614778
755231;0.408741;12.1752;0.19662;0.0484994
522792;0.282773;8.35761;0.134784;0.0335704
1.00996e+06;0.547183;14.3388;0.265076;0.0616611
755231;0.409259;12.1449;0.196973;0.0484052
522792;0.283483;8.38384;0.135806;0.0334357
1.00996e+06;0.546559;14.2268;0.263506;0.0615308
755231;0.408846;12.17;0.199027;0.048402
522792;0.283755;8.37576;0.137989;0.0333796
1.00996e+06;0.547791;14.3099;0.264814;0.0617148
755231;0.409184;12.1421;0.199205;0.048335
522792;0.283632;8.38333;0.135263;0.0335499
1.00996e+06;0.548159;14.2534;0.267009;0.0625419
755231;0.409232;12.1741;0.194939;0.048454
522792;0.283328;8.45503;0.13606;0.0335178
1.00996e+06;0.548381;14.2878;0.265474;0.0615144
755231;0.408903;12.1489;0.195992;0.048488
522792;0.284339;8.37886;0.134645;0.0333827
1.00996e+06;0.54801;14.2591;0.264742;0.0617643
755231;0.409813;12.1785;0.196529;0.0484952
522792;0.282198;8.37001;0.135484;0.0334728
1.00996e+06;0.54864;14.2779;0.263989;0.0616274
755231;0.40998;12.1593;0.196669;0.0484562
522792;0.282875;8.44182;0.136398;0.0335083
1.00996e+06;0.549777;14.2471;0.264769;0.061688
755231;0.409079;12.1721;0.198616;0.0481835
522792;0.282916;8.3732;0.135316;0.0334343
1.00996e+06;0.569155;14.3612;0.265246;0.0617981
755231;0.408284;12.1411;0.196143;0.0482778
522792;0.283055;8.39837;0.137453;0.0334875
1.00996e+06;0.548862;14.2508;0.265333;0.0616624
755231;0.408951;12.1667;0.196016;0.0485485
522792;0.283567;8.37395;0.137221;0.0335182
1.00996e+06;0.547295;14.2953;0.264744;0.061479
755231;0.408673;12.1403;0.196715;0.0483065
522792;0.283341;8.37591;0.136026;0.033526
1.00996e+06;0.549699;14.2643;0.265157;0.0614139
755231;0.409813;12.1229;0.195911;0.0485454
522792;0.282403;8.38326;0.13569;0.0335014
1.00996e+06;0.549897;14.2754;0.267202;0.0614875
755231;0.409295;12.1588;0.19669;0.0516228
522792;0.282233;8.39429;0.136869;0.0322271
