2344;0.00207046;0.0240098;0.000453995;0.000285931
208571;0.0206394;0.988375;0.0163503;0.00165292
1.43325e+06;0.152356;6.74485;0.122876;0.011589
7243;0.000995673;0.0457931;0.000641715;0.000195753
21;9.4307e-05;0.000139655;2.0719e-05;1.6607e-05
2344;0.000330434;0.0134146;0.000204044;4.2608e-05
208571;0.0215527;1.01466;0.0168182;0.00169511
1.43325e+06;0.153334;6.70394;0.127223;0.0122897
7243;0.000935928;0.0456991;0.000640616;0.00019563
21;9.5053e-05;0.000193502;2.1537e-05;2.9132e-05
2344;0.000327049;0.0132622;0.000201609;4.1134e-05
208571;0.0216934;1.03613;0.0172939;0.001794
1.43325e+06;0.155904;6.86996;0.126098;0.0114778
7243;0.000974018;0.047177;0.000673672;0.000216804
21;6.8636e-05;0.000156522;2.1559e-05;1.6515e-05
2344;0.000334694;0.0133421;0.00020466;4.0185e-05
208571;0.0223314;1.04766;0.0179598;0.00176584
1.43325e+06;0.156471;6.88888;0.128022;0.0116759
7243;0.000970841;0.0459362;0.000647566;0.000197967
21;8.898e-05;0.000184758;2.0039e-05;2.6987e-05
2344;0.000524226;0.0132416;0.000274297;6.5059e-05
208571;0.0224935;1.05339;0.0181029;0.00179951
1.43325e+06;0.16184;6.90232;0.129868;0.0115058
7243;0.000988489;0.0457118;0.000731753;0.000197082
21;0.000104229;0.000159919;2.0843e-05;2.9364e-05
2344;0.000347772;0.0131172;0.000205929;5.0867e-05
208571;0.0225225;1.05574;0.0179143;0.0018522
1.43325e+06;0.162855;6.90567;0.129275;0.0118217
7243;0.00101776;0.047705;0.000747248;0.000196506
21;0.000110909;0.000142728;1.9605e-05;2.5787e-05
2344;0.000338846;0.0140871;0.000188875;4.2158e-05
208571;0.0218969;1.05473;0.0174433;0.00177859
1.43325e+06;0.158987;6.87524;0.129303;0.011829
7243;0.000989349;0.0461638;0.000747395;0.000192495
21;9.8906e-05;0.000154471;2.3556e-05;1.4242e-05
2344;0.000350311;0.0135894;0.00025972;5.5656e-05
208571;0.0225289;1.04733;0.0183158;0.00190308
1.43325e+06;0.163885;6.91924;0.130923;0.0120068
7243;0.000996626;0.0458689;0.00066713;0.000193707
21;0.000148532;0.00014038;2.249e-05;1.4297e-05
2344;0.000316835;0.0131562;0.000205757;4.1719e-05
208571;0.0231782;1.05938;0.0182145;0.00188095
1.43325e+06;0.162803;6.84892;0.12656;0.0114159
7243;0.00101782;0.0467132;0.000637725;0.000206551
21;6.7704e-05;0.000183738;2.0811e-05;5.9722e-05
2344;0.000322927;0.0134383;0.000181441;4.0985e-05
208571;0.0223866;1.06694;0.0179908;0.0018132
1.43325e+06;0.165364;6.95966;0.132873;0.012011
7243;0.0010621;0.0513992;0.000713402;0.00021823
21;0.000110895;0.000161835;2.878e-05;1.9878e-05
2344;0.000422237;0.0138722;0.000212422;4.4242e-05
208571;0.0230761;1.0671;0.0186333;0.00192922
1.43325e+06;0.15802;6.91269;0.12706;0.0118325
7243;0.000969653;0.0466449;0.000648777;0.000210329
